Pat Buchanan	http://www.ontheissues.org/Pat_Buchanan.htm
Dale Bumpers	http://www.ontheissues.org/Senate/Dale_Bumpers.htm
Jim Bunning	http://www.ontheissues.org/Senate/Jim_Bunning.htm
Michael Burgess	http://www.OnTheIssues.org/TX/Michael_Burgess.htm
Conrad Burns	http://www.ontheissues.org/Senate/Conrad_Burns.htm
Max Burns	http://www.OnTheIssues.org/GA/Max_Burns.htm
Richard Burr	http://www.ontheissues.org/NC/Richard_Burr.htm
Tom Burrell	http://www.ontheissues.org/Senate2000/Tom_Burrell.htm
Dan Burton	http://www.ontheissues.org/IN/Dan_Burton.htm
George Bush Sr.	http://www.ontheissues.org/George_Bush_Sr_.htm
George W. Bush	http://www.ontheissues.org/George_W__Bush.htm
Jeb Bush	http://www.ontheissues.org/Jeb_Bush.htm
Steve Buyer	http://www.ontheissues.org/IN/Steve_Buyer.htm
Robert Byrd	http://www.ontheissues.org/Senate/Robert_Byrd.htm
Sila Calderon	http://www.ontheissues.org/Sila_Calderon.htm
Sonny Callahan	http://www.ontheissues.org/House/Sonny_Callahan.htm
Ken Calvert	http://www.ontheissues.org/CA/Ken_Calvert.htm
Jose Camahort	http://www.ontheissues.org/Senate2000/Jose_Camahort.htm
Dave Camp	http://www.ontheissues.org/MI/Dave_Camp.htm
Ben Nighthorse Campbell	http://www.ontheissues.org/Senate/Ben_Nighthorse_Campbell
Tom Campbell	http://www.ontheissues.org/CA/Tom_Campbell.htm
Charles Canady	http://www.ontheissues.org/FL/Charles_Canady.htm
Chris Cannon	http://www.ontheissues.org/House/Chris_Cannon.htm
Eric Cantor	http://www.ontheissues.org/VA/Eric_Cantor.htm
Maria Cantwell	http://www.ontheissues.org/Senate/Maria_Cantwell.htm
Shelley Moore Capito	http://www.ontheissues.org/House/Shelley_Capito.htm
Lois Capps	http://www.ontheissues.org/CA/Lois_Capps.htm
Michael Capuano	http://www.ontheissues.org/MA/Michael_Capuano.htm
Benjamin Cardin	http://www.ontheissues.org/House/Benjamin_Cardin.htm
Dennis Cardoza	http://www.OnTheIssues.org/CA/Dennis_Cardoza.htm
Jean Carnahan	http://www.ontheissues.org/Senate/Jean_Carnahan.htm
Mel Carnahan	http://www.ontheissues.org/Senate2000/Mel_Carnahan.htm
Tom Carper	http://www.ontheissues.org/Senate/Tom_Carper.htm
Brad Carson	http://www.ontheissues.org/House/Brad_Carson.htm
Julia Carson	http://www.ontheissues.org/IN/Julia_Carson.htm
Jimmy Carter	http://www.ontheissues.org/Jimmy_Carter.htm
John Carter	http://www.OnTheIssues.org/TX/John_Carter.htm
Ed Case	http://www.OnTheIssues.org/House/Ed_Case.htm
Michael Castle	http://www.ontheissues.org/House/Michael_Castle.htm
Ben Cayetano	http://www.ontheissues.org/Ben_Cayetano.htm
Ted Celeste	http://www.ontheissues.org/Senate2000/Ted_Celeste.htm
Paul Celucci	http://www.ontheissues.org/Paul_Celucci.htm
Steve Chabot	http://www.ontheissues.org/OH/Steve_Chabot.htm
John Chafee	http://www.ontheissues.org/Senate/John_Chafee.htm
Lincoln Chafee	http://www.ontheissues.org/Senate/Lincoln_Chafee.htm
Saxby Chambliss	http://www.issues2000.org/Saxby_Chambliss.htm
Harriette Chandler	http://www.MassScorecard.org/MA_Senate/Harriette_Chandler.htm
Hazel Chandler	http://www.ontheissues.org/Senate2000/Hazel_Chandler.htm
Elaine Chao	http://www.ontheissues.org/Elaine_Chao.htm
Dick Cheney	http://www.ontheissues.org/Dick_Cheney.htm
Helen Chenoweth	http://www.ontheissues.org/House/Helen_Chenoweth.htm
Chris Chocola	http://www.OnTheIssues.org/IN/Chris_Chocola.htm
Noam Chomsky	http://www.ontheissues.org/Noam_Chomsky.htm
