Jeff	Jeff	N00006518	{"opensecrets_industries":[{"industry_name":"Lawyers/Law Firms", "indivs":"64716", "pacs":"18500", "total":"83216"}, {"industry_name":"Electric Utilities", "indivs":"1500", "pacs":"61500", "total":"63000"}, {"industry_name":"Retired", "indivs":"43200", "pacs":"0", "total":"43200"}, {"industry_name":"Oil & Gas", "indivs":"7300", "pacs":"30500", "total":"37800"}, {"industry_name":"Health Professionals", "indivs":"9000", "pacs":"26500", "total":"35500"}, {"industry_name":"Real Estate", "indivs":"12000", "pacs":"8000", "total":"20000"}, {"industry_name":"Business Services", "indivs":"16000", "pacs":"3000", "total":"19000"}, {"industry_name":"Misc Energy", "indivs":"3000", "pacs":"15000", "total":"18000"}, {"industry_name":"Dairy", "indivs":"12100", "pacs":"5000", "total":"17100"}, {"industry_name":"Lobbyists", "indivs":"10850", "pacs":"6000", "total":"16850"}]}
Sanford	Sanford	N00002674	{"opensecrets_industries":[{"industry_name":"Crop Production & Basic Processing", "indivs":"5750", "pacs":"59000", "total":"64750"}, {"industry_name":"Lawyers/Law Firms", "indivs":"36700", "pacs":"21157", "total":"57857"}, {"industry_name":"Lobbyists", "indivs":"28993", "pacs":"2243", "total":"31236"}, {"industry_name":"Public Sector Unions", "indivs":"0", "pacs":"25500", "total":"25500"}, {"industry_name":"Industrial Unions", "indivs":"0", "pacs":"25000", "total":"25000"}, {"industry_name":"Insurance", "indivs":"12000", "pacs":"11000", "total":"23000"}, {"industry_name":"Defense Aerospace", "indivs":"1000", "pacs":"20500", "total":"21500"}, {"industry_name":"Agricultural Services/Products", "indivs":"0", "pacs":"19500", "total":"19500"}, {"industry_name":"Food Processing & Sales", "indivs":"0", "pacs":"17680", "total":"17680"}, {"industry_name":"Real Estate", "indivs":"7400", "pacs":"10000", "total":"17400"}]}
Earl	Earl	N00007727	{"opensecrets_industries":[{"industry_name":"Construction Services", "indivs":"21910", "pacs":"42500", "total":"64410"}, {"industry_name":"Railroads", "indivs":"14675", "pacs":"48165", "total":"62840"}, {"industry_name":"Health Professionals", "indivs":"400", "pacs":"53250", "total":"53650"}, {"industry_name":"Lawyers/Law Firms", "indivs":"23250", "pacs":"17250", "total":"40500"}, {"industry_name":"Misc Manufacturing & Distributing", "indivs":"19300", "pacs":"19250", "total":"38550"}, {"industry_name":"Public Sector Unions", "indivs":"0", "pacs":"35500", "total":"35500"}, {"industry_name":"Real Estate", "indivs":"23850", "pacs":"10000", "total":"33850"}, {"industry_name":"Securities & Investment", "indivs":"28999", "pacs":"2000", "total":"30999"}, {"industry_name":"Hospitals/Nursing Homes", "indivs":"4765", "pacs":"19500", "total":"24265"}, {"industry_name":"Insurance", "indivs":"2000", "pacs":"22000", "total":"24000"}]}
Roy	Roy	N00005195	{"opensecrets_industries":[{"industry_name":"Securities & Investment", "indivs":"692319", "pacs":"81000", "total":"773319"}, {"industry_name":"Retired", "indivs":"579394", "pacs":"0", "total":"579394"}, {"industry_name":"Leadership PACs", "indivs":"0", "pacs":"526703", "total":"526703"}, {"industry_name":"Lawyers/Law Firms", "indivs":"334684", "pacs":"122600", "total":"457284"}, {"industry_name":"Health Professionals", "indivs":"264995", "pacs":"168000", "total":"432995"}, {"industry_name":"Real Estate", "indivs":"373585", "pacs":"36900", "total":"410485"}, {"industry_name":"Lobbyists", "indivs":"378230", "pacs":"6000", "total":"384230"}, {"industry_name":"Oil & Gas", "indivs":"213200", "pacs":"155250", "total":"368450"}, {"industry_name":"Insurance", "indivs":"183284", "pacs":"176900", "total":"360184"}, {"industry_name":"Commercial Banks", "indivs":"181183", "pacs":"100600", "total":"281783"}]}
John	John	N00003675	{"opensecrets_industries":[{"industry_name":"Securities & Investment", "indivs":"1120625", "pacs":"128250", "total":"1248875"}, {"industry_name":"Retired", "indivs":"1096383", "pacs":"0", "total":"1096383"}, {"industry_name":"Real Estate", "indivs":"479150", "pacs":"43000", "total":"522150"}, {"industry_name":"Health Professionals", "indivs":"390917", "pacs":"122000", "total":"512917"}, {"industry_name":"Misc Manufacturing & Distributing", "indivs":"347384", "pacs":"65500", "total":"412884"}, {"industry_name":"Insurance", "indivs":"241300", "pacs":"155800", "total":"397100"}, {"industry_name":"Lawyers/Law Firms", "indivs":"333077", "pacs":"61106", "total":"394183"}, {"industry_name":"Electric Utilities", "indivs":"220400", "pacs":"153500", "total":"373900"}, {"industry_name":"Misc Finance", "indivs":"304225", "pacs":"22500", "total":"326725"}, {"industry_name":"Lobbyists", "indivs":"317950", "pacs":"1300", "total":"319250"}]}
Leonard	Leonard	N00004208	{"opensecrets_industries":[{"industry_name":"Leadership PACs", "indivs":"5000", "pacs":"96500", "total":"101500"}, {"industry_name":"Lawyers/Law Firms", "indivs":"68550", "pacs":"11250", "total":"79800"}, {"industry_name":"Retired", "indivs":"55850", "pacs":"0", "total":"55850"}, {"industry_name":"Building Trade Unions", "indivs":"0", "pacs":"51000", "total":"51000"}, {"industry_name":"Health Professionals", "indivs":"27000", "pacs":"22000", "total":"49000"}, {"industry_name":"Public Sector Unions", "indivs":"250", "pacs":"46000", "total":"46250"}, {"industry_name":"Candidate Committees", "indivs":"0", "pacs":"44500", "total":"44500"}, {"industry_name":"Real Estate", "indivs":"39400", "pacs":"1000", "total":"40400"}, {"industry_name":"Industrial Unions", "indivs":"0", "pacs":"38000", "total":"38000"}, {"industry_name":"Insurance", "indivs":"24600", "pacs":"12500", "total":"37100"}]}
Barbara	Barbara	N00006692	{"opensecrets_industries":[{"industry_name":"Lawyers/Law Firms", "indivs":"1913574", "pacs":"146871", "total":"2060445"}, {"industry_name":"Retired", "indivs":"1405676", "pacs":"0", "total":"1405676"}, {"industry_name":"Women's Issues", "indivs":"1271370", "pacs":"30895", "total":"1302265"}, {"industry_name":"TV/Movies/Music", "indivs":"822818", "pacs":"90800", "total":"913618"}, {"industry_name":"Misc Business", "indivs":"593126", "pacs":"0", "total":"593126"}, {"industry_name":"Real Estate", "indivs":"538265", "pacs":"25681", "total":"563946"}, {"industry_name":"Securities & Investment", "indivs":"493161", "pacs":"21300", "total":"514461"}, {"industry_name":"Computers/Internet", "indivs":"341486", "pacs":"100203", "total":"441689"}, {"industry_name":"Education", "indivs":"420054", "pacs":"1000", "total":"421054"}, {"industry_name":"Leadership PACs", "indivs":"0", "pacs":"417410", "total":"417410"}]}
Kevin	Kevin	N00005883	{"opensecrets_industries":[{"industry_name":"Oil & Gas", "indivs":"0", "pacs":"104500", "total":"104500"}, {"industry_name":"Insurance", "indivs":"1800", "pacs":"77000", "total":"78800"}, {"industry_name":"Health Professionals", "indivs":"6500", "pacs":"34500", "total":"41000"}, {"industry_name":"Computers/Internet", "indivs":"250", "pacs":"37500", "total":"37750"}, {"industry_name":"Lawyers/Law Firms", "indivs":"12250", "pacs":"23250", "total":"35500"}, {"industry_name":"Real Estate", "indivs":"1000", "pacs":"30010", "total":"31010"}, {"industry_name":"Health Services/HMOs", "indivs":"250", "pacs":"27000", "total":"27250"}, {"industry_name":"Accountants", "indivs":"3750", "pacs":"23439", "total":"27189"}, {"industry_name":"Securities & Investment", "indivs":"0", "pacs":"27000", "total":"27000"}, {"industry_name":"Retail Sales", "indivs":"500", "pacs":"25000", "total":"25500"}]}
Corrine	Corrine	N00002713	{"opensecrets_industries":[{"industry_name":"Transportation Unions", "indivs":"0", "pacs":"41500", "total":"41500"}, {"industry_name":"Railroads", "indivs":"6000", "pacs":"27500", "total":"33500"}, {"industry_name":"Lawyers/Law Firms", "indivs":"23300", "pacs":"5000", "total":"28300"}, {"industry_name":"Sea Transport", "indivs":"3000", "pacs":"15000", "total":"18000"}, {"industry_name":"Real Estate", "indivs":"9000", "pacs":"4010", "total":"13010"}, {"industry_name":"Air Transport", "indivs":"0", "pacs":"11500", "total":"11500"}, {"industry_name":"Lobbyists", "indivs":"8250", "pacs":"2500", "total":"10750"}, {"industry_name":"Industrial Unions", "indivs":"0", "pacs":"10000", "total":"10000"}, {"industry_name":"Building Materials & Equipment", "indivs":"7500", "pacs":"2000", "total":"9500"}, {"industry_name":"Retired", "indivs":"8650", "pacs":"0", "total":"8650"}]}
Sherrod	Sherrod	N00003535	{"opensecrets_industries":[{"industry_name":"Lawyers/Law Firms", "indivs":"1417642", "pacs":"166571", "total":"1584213"}, {"industry_name":"Retired", "indivs":"941467", "pacs":"0", "total":"941467"}, {"industry_name":"Health Professionals", "indivs":"315252", "pacs":"221452", "total":"536704"}, {"industry_name":"Real Estate", "indivs":"372659", "pacs":"59907", "total":"432566"}, {"industry_name":"Lobbyists", "indivs":"369801", "pacs":"18350", "total":"388151"}, {"industry_name":"Education", "indivs":"364472", "pacs":"5000", "total":"369472"}, {"industry_name":"Leadership PACs", "indivs":"0", "pacs":"318975", "total":"318975"}, {"industry_name":"Hospitals/Nursing Homes", "indivs":"243422", "pacs":"42250", "total":"285672"}, {"industry_name":"Insurance", "indivs":"111834", "pacs":"112149", "total":"223983"}, {"industry_name":"Securities & Investment", "indivs":"171350", "pacs":"33000", "total":"204350"}]}
